title,artist,mood,energy,valence,tempo,language,album_art,preview_url
Chittoor Kavilamma,K. S. Chithra,disgust,0.5,0.2,90,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b7/e5/14/b7e5148d-863e-5cdc-4e3f-151d31f1323b/mzaf_10124891873850772496.plus.aac.p.m4a
Kadampuzha,K. S. Chithra,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/5a/7d/54/5a7d5458-2eac-4c50-f76c-588693dec30c/mzaf_10283683202748729443.plus.aac.p.m4a
Kannanchum,K. S. Chithra,surprise,0.8,0.6,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/07/f4/22/07f422bb-33fa-7754-0b7d-1e2722603e11/mzaf_1427909953287877818.plus.aac.p.m4a
Panachikkadamarunna,K. S. Chithra,surprise,0.8,0.6,130,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/c9/07/18/c90718fe-c7c8-0fe1-53c3-4252dfe164d2/mzaf_9845297227570547159.plus.aac.p.m4a
Pettamma,K. S. Chithra,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/82/74/94/827494b3-5791-4821-9145-2eb5edb1db0f/mzaf_2558262692194692116.plus.aac.p.m4a
Thiruneelakandante,K. S. Chithra,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/54/3a/ca/543aca8f-108e-3c91-7f40-88b08198c5d8/mzaf_750746211014929593.plus.aac.p.m4a
Vellimalel Ninnum,K. S. Chithra,fear,0.4,0.1,110,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d7/df/2d/d7df2d55-ff13-3fa8-e502-83a2273fe845/840931134241_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/75/01/02/750102bc-58d4-cb20-6fe6-0af0ed4ada7e/mzaf_3980993088867845798.plus.aac.p.m4a
Pokkiri Chamyana,K. S. Chithra,relaxed,0.3,0.5,80,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c4/06/54/c4065485-7fb3-e2b8-1ce8-a3f9e7770fcc/840931101557_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/9d/35/49/9d3549d0-66c5-36b2-fbf1-bc49408bfae6/mzaf_7036629994178549128.plus.aac.p.m4a
Kanamarayathu,K. S. Chithra,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/60/74/8e/60748ee2-a46c-dfa2-2437-823aa7512765/840931105432_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/42/8d/53/428d53af-1338-67c3-e71d-46ad9ad11f5c/mzaf_14391881597046504172.plus.aac.p.m4a
Moodu Padam Maati (Female Version),K. S. Chithra,motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/60/74/8e/60748ee2-a46c-dfa2-2437-823aa7512765/840931105432_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cd/9d/6a/cd9d6a77-9ded-c91f-ea9c-d7f430c6df73/mzaf_3336916337687907675.plus.aac.p.m4a
Kaattile Mainaye,K. S. Chithra,disgust,0.5,0.2,90,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/07/a7/54/07a75452-3f73-02fc-8575-8ee5fca0c02f/840931145506_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e0/e7/74/e0e77400-7a55-59f4-3660-1b55490ff39c/mzaf_9157119028023911778.plus.aac.p.m4a
Raapaadi,K. S. Chithra,love,0.4,0.8,95,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/07/a7/54/07a75452-3f73-02fc-8575-8ee5fca0c02f/840931145506_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ba/53/2b/ba532b75-6fcf-7261-c525-018a3d341f8a/mzaf_756456102036960069.plus.aac.p.m4a
Aji Suno Suno,"Dilip Sen-Sameer Sen, K.S. Chithra, Udit Narayan & Sameer Anjaan",sadness,0.2,0.2,80,Hindi,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/5e/e1/f7/5ee1f76b-c9b7-4d7d-11ec-6e50c61b9ec1/8901854115990.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/99/87/6d/99876dd1-42ad-b989-5e1a-d1d90fc60429/mzaf_5230041537969811016.plus.aac.p.m4a
Ale Ale,"Karthik, K.S. Chithra & Sivaraman",motivated,0.9,0.7,140,Telugu,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/74/5f/0f/745f0fbf-a91b-59fb-8284-688b7d1b517d/cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b4/d8/1b/b4d81b8e-7472-1a9e-a5a5-1a72677acb13/mzaf_11212678067521953233.plus.aac.p.m4a
O Haseena,"Dilip Sen-Sameer Sen, Kumar Sanu, K.S. Chithra & Sameer Anjaan",sadness,0.2,0.2,80,Hindi,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/5e/e1/f7/5ee1f76b-c9b7-4d7d-11ec-6e50c61b9ec1/8901854115990.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/60/d9/9b/60d99be1-89c3-2e38-eda9-a6803c03a66f/mzaf_14198207742627650140.plus.aac.p.m4a
